Rank,Compound,SMILES,Affinity_kcal_per_mol,DLG_file,Within_Pocket
1,Cmpd_49_docked,N/A,-9.920,Cmpd_49_docked.dlg,True
2,Cmpd_72_docked,N/A,-9.750,Cmpd_72_docked.dlg,True
3,Cmpd_22_docked,N/A,-9.200,Cmpd_22_docked.dlg,True
4,Cmpd_48_docked,N/A,-9.190,Cmpd_48_docked.dlg,True
5,Cmpd_8_docked,N/A,-9.000,Cmpd_8_docked.dlg,True
6,Cmpd_24_docked,N/A,-8.900,Cmpd_24_docked.dlg,True
7,Cmpd_4_docked,N/A,-8.870,Cmpd_4_docked.dlg,True
8,Cmpd_47_docked,N/A,-8.800,Cmpd_47_docked.dlg,True
9,Cmpd_20_docked,N/A,-8.510,Cmpd_20_docked.dlg,True
10,Cmpd_18_docked,N/A,-8.420,Cmpd_18_docked.dlg,True
11,Cmpd_11_docked,N/A,-8.400,Cmpd_11_docked.dlg,True
12,Cmpd_3_docked,N/A,-8.190,Cmpd_3_docked.dlg,True
13,Cmpd_9_docked,N/A,-8.090,Cmpd_9_docked.dlg,True
14,Cmpd_16_docked,N/A,-7.970,Cmpd_16_docked.dlg,True
15,Cmpd_23_docked,N/A,-7.800,Cmpd_23_docked.dlg,True
16,Cmpd_17_docked,N/A,-7.770,Cmpd_17_docked.dlg,True
17,Cmpd_30_docked,N/A,-7.740,Cmpd_30_docked.dlg,True
18,Cmpd_7_docked,N/A,-6.610,Cmpd_7_docked.dlg,True
19,THS_044_docked,N/A,-6.430,THS_044_docked.dlg,True
